,Unnamed: 0,Unnamed: 0.1,make_model,short_description,price,km,hp,Type,First Registration,Body Color,Body,Gearing Type,Displacement,Fuel,CO2 Emission,Emission Class,consumption_comb,consumption_city,consumption_country,door_number,First_Registration
5982,5982,5982,Opel Astra,1.6 CDTi 136CV aut. Sports Tourer Innovation,10800,151227,100.0,Used,2016.0,Grey,Station wagon,Automatic,1.598,DIESEL,119,Euro 6,4.5,5.7,3.8,5,2016
5983,5983,5983,Opel Astra,"1,6 cdti ST/Aut./Navi+/PDC/Sitzhzg./Spur",10950,140000,100.0,Used,2017.0,Silver,Station wagon,Automatic,1.598,DIESEL,122,Euro 6,4.6,5.8,3.9,4,2017
5984,5984,5984,Opel Astra,"K Sp-To INNOV 1,6 CDTI Aut Navi PDC Tem E6",10750,185000,100.0,Used,2016.0,Beige,Station wagon,Automatic,1.598,DIESEL,122,Euro 6,4.6,5.8,3.9,5,2016
5985,5985,5985,Opel Astra,WAGON ST 1.6 CDTI Business Premium 136cv AT6,10550,112388,100.0,Used,2016.0,Grey,Station wagon,Automatic,1.598,DIESEL,,,,,,5,2016
5986,5986,5986,Opel Astra,"OPEL 1.0 EASYTRONIC 105CV Elective, 77 /105 hp ,",10500,78771,77.0,Used,2017.0,Silver,Sedans,Automatic,0.999,BENZINE,,,,,,5,2017
5987,5987,5987,Opel Astra,"1,6 cdti ST/Aut./Navi+/LED/PDC/CAM/ACC",10450,164000,100.0,Used,2016.0,Black,Station wagon,Automatic,1.598,DIESEL,122,Euro 6,4.6,5.8,3.9,4,2016
5988,5988,5988,Opel Astra,1.6 D (CDTI) Automatik Innovation,10350,127000,100.0,Used,2016.0,Silver,Sedans,Automatic,1.598,DIESEL,115,Euro 6,4.4,5.5,3.7,5,2016
5989,5989,5989,Opel Astra,ST 1.6 CDTI Innovation Automatik EURO 6 Navi LED,10680,190000,100.0,Used,2016.0,Blue,Station wagon,Automatic,1.598,DIESEL,119,Euro 6,4.5,5.7,3.8,5,2016
5990,5990,5990,Opel Astra,"OPEL 1.0 EASYTRONIC 105CV Elective, 77 /105 hp ,",10300,69377,77.0,Used,2017.0,Silver,Sedans,Automatic,0.999,BENZINE,,,,,,5,2017
5991,5991,5991,Opel Astra,Opel Astra 1.6 cdti 5 deurs wit Cosmo 2016m,10200,92000,81.0,Used,2016.0,White,Sedans,Automatic,1.598,DIESEL,88,Euro 6,3.3,3.8,3.1,5,2016
5992,5992,5992,Opel Astra,1.0 Turbo ecoFLEX Start&Stop EASYTRONIC Navi,9990,82000,77.0,Used,2017.0,Silver,Sedans,Automatic,0.998,BENZINE,99,Euro 6,4.3,5.2,3.8,5,2017
5993,5993,5993,Opel Astra,"K Sports Tourer INNOVATION,LED,PDC,Navi,SH",9890,212569,100.0,Used,2016.0,Black,Station wagon,Automatic,1.598,DIESEL,119,Euro 6,4.5,5.7,3.8,4,2016
